index,name,district,official,cov,cov_centres,bM,jM,bF,jF,adv,belt,jam_won,men_lead,women_lead,both_lead
1,Panchagarh-1,Panchagarh,BNP,17.1,18.1,45.330029595980456,0.0,45.6206656147947,0.0,0.0,False,False,BNP,BNP,BNP
5,Thakurgaon-3,Thakurgaon,BNP,21.9,23.4,48.79367267713965,40.71762870514821,47.715797552207455,44.96909964858424,4.251470943436033,False,False,BNP,BNP,BNP
6,Dinajpur-1,Dinajpur,BNP,28.4,32.8,57.56648517301895,39.46811861584845,57.10011281699122,40.82013047530289,1.3520118594544428,False,False,BNP,BNP,BNP
7,Dinajpur-2,Dinajpur,BNP,21.8,24.1,49.12063753778511,44.064303380049466,48.57008907641819,45.31357063002633,1.2492672499768602,False,False,BNP,BNP,BNP
8,Dinajpur-3,Dinajpur,BNP,48.1,49.2,47.86929163292007,49.47822565572238,49.42392246220996,48.63442344106037,-0.8438022146620128,False,False,Jamaat,BNP,Jamaat
9,Dinajpur-4,Dinajpur,BNP,23.2,26.2,53.47287483981204,44.62195642887655,54.762266905971465,44.20953365984242,-0.41242276903413,False,False,BNP,BNP,BNP
10,Dinajpur-5,Dinajpur,Other,12.8,14.2,18.11289375855997,0.0,17.97618428578857,0.0,0.0,False,False,BNP,BNP,BNP
11,Dinajpur-6,Dinajpur,BNP,29.9,35.2,49.5005381407238,49.05825373335127,49.1745907096642,49.83867388224047,0.7804201488891991,False,False,BNP,Jamaat,Jamaat
12,Nilphamari-1,Nilphamari,Jamaat,21.0,24.7,0.0,51.59989508884663,0.0,55.92871343368361,4.328818344836982,False,True,Jamaat,Jamaat,Jamaat
13,Nilphamari-2,Nilphamari,Jamaat,29.0,30.6,51.344822433630526,47.051352293669375,46.89672607761345,51.85690810264189,4.805555808972514,False,True,BNP,Jamaat,Jamaat
14,Nilphamari-3,Nilphamari,Jamaat,45.9,45.7,48.68853859626639,48.68640266564142,42.67008063248209,55.515127013004516,6.828724347363099,False,True,BNP,Jamaat,Jamaat
15,Nilphamari-4,Nilphamari,Jamaat,30.3,33.1,28.093580401738414,43.24850267032801,29.422156225197778,44.31757085434855,1.0690681840205443,False,True,Jamaat,Jamaat,Jamaat
17,Lalmonirhat-2,Lalmonirhat,BNP,20.7,24.5,44.732057258091174,42.064200469437004,42.35475153880799,46.88860531451734,4.824404845080338,False,False,BNP,Jamaat,Jamaat
18,Lalmonirhat-3,Lalmonirhat,BNP,31.8,31.9,65.75304283192419,30.248691504846853,67.75386684599866,29.21990585070612,-1.0287856541407336,False,False,BNP,BNP,BNP
19,Rangpur-1,Rangpur,Jamaat,33.8,37.4,27.169645687532004,68.19234802116608,24.58516864780064,71.7794002292886,3.5870522081225147,False,True,Jamaat,Jamaat,Jamaat
21,Rangpur-3,Rangpur,Jamaat,22.2,22.5,26.46290194296103,56.45097148051358,26.985072754641244,60.04766683391872,3.5966953534051385,False,True,Jamaat,Jamaat,Jamaat
22,Rangpur-4,Rangpur,NCP,30.4,33.1,50.83166471719434,0.0,51.26724349032732,0.0,0.0,False,False,BNP,BNP,BNP
23,Rangpur-5,Rangpur,Jamaat,20.5,23.7,42.217973231357554,51.44678138942001,39.11276781516556,56.293236617637184,4.846455228217174,False,True,Jamaat,Jamaat,Jamaat
24,Rangpur-6,Rangpur,Jamaat,30.7,33.6,50.83396307891612,47.163445967829,49.848617752751764,48.61209360233157,1.4486476345025707,False,True,BNP,BNP,BNP
26,Kurigram-2,Kurigram,NCP,16.0,16.6,42.67065715741212,0.0,39.26235587620525,0.0,0.0,False,False,BNP,BNP,BNP
29,Gaibandha-1,Gaibandha,Jamaat,14.1,14.6,17.078397523662122,53.032918626108696,13.90377515779445,56.65713945456711,3.6242208284584123,False,True,Jamaat,Jamaat,Jamaat
30,Gaibandha-2,Gaibandha,Jamaat,27.3,28.8,41.63414483057672,45.64207396394722,40.44434653995028,48.75853604808509,3.116462084137872,False,True,Jamaat,Jamaat,Jamaat
31,Gaibandha-3,Gaibandha,Jamaat,14.5,15.1,42.99244108492663,52.37883503779457,40.12388803502399,55.633179637650784,3.2543445998562106,False,True,Jamaat,Jamaat,Jamaat
32,Gaibandha-4,Gaibandha,BNP,10.4,12.7,48.214902285753745,49.8998687935916,47.34206195893253,50.990913643843456,1.0910448502518548,False,False,Jamaat,Jamaat,Jamaat
33,Gaibandha-5,Gaibandha,Jamaat,20.7,20.5,35.605118180202595,38.141993957703924,34.2230517965469,41.516565562295845,3.374571604591921,False,True,Jamaat,Jamaat,Jamaat
34,Joypurhat-1,Joypurhat,Jamaat,26.0,26.5,49.10953891192974,45.57940961210051,49.00828968112699,46.30778619742664,0.7283765853261244,False,True,BNP,BNP,BNP
36,Bogra-1,Bogura,BNP,10.4,11.1,72.17340848806366,27.08057029177719,77.05835331734612,22.206235011990408,-4.874335279786781,False,False,BNP,BNP,BNP
37,Bogra-2,Bogura,BNP,13.5,15.8,54.96913580246913,42.95679012345679,60.45256638253511,37.95302630772061,-5.003763815736178,False,False,BNP,BNP,BNP
39,Bogra-4,Bogura,BNP,23.0,24.6,55.72373696872494,42.612269446672016,58.06099518459069,40.947030497592294,-1.665238949079722,False,False,BNP,BNP,BNP
40,Bogra-5,Bogura,BNP,15.2,14.9,61.12934996717006,35.646749835850294,64.63451931899276,32.952730485608456,-2.694019350241838,False,False,BNP,BNP,BNP
41,Bogra-6,Bogura,BNP,49.2,49.3,67.83301387925995,30.707013036444952,70.18162029793892,28.917760696551255,-1.7892523398936966,False,False,BNP,BNP,BNP
42,Bogra-7,Bogura,BNP,10.4,12.7,75.07367767954088,24.14042707202316,79.53402171035214,20.08472332539052,-4.055703746632641,False,False,BNP,BNP,BNP
44,Chapai Nawabganj-2,Chapainababganj,Jamaat,21.9,22.8,45.62600673597891,49.146287889881386,43.07955565529623,52.81081687612208,3.664528986240697,False,True,Jamaat,Jamaat,Jamaat
45,Chapai Nawabganj-3,Chapainababganj,Jamaat,30.9,31.4,41.629595482309554,57.692750950789446,35.04284698574262,64.49313325599671,6.800382305207265,False,True,Jamaat,Jamaat,Jamaat
46,Naogaon-1,Naogaon,BNP,32.5,32.5,48.126403920767814,42.299707303791436,49.91935483870968,42.272401433691755,-0.02730587009968133,False,False,BNP,BNP,BNP
47,Naogaon-2,Naogaon,Jamaat,34.8,38.7,46.13571413671541,52.90264711404076,48.73775751435326,50.4580378250591,-2.4446092889816597,False,True,Jamaat,Jamaat,Jamaat
48,Naogaon-3,Naogaon,BNP,17.2,19.7,51.92035258932788,38.796631512671176,54.45401738723636,38.251920003118784,-0.5447115095523927,False,False,BNP,BNP,BNP
49,Naogaon-4,Naogaon,BNP,41.6,44.4,55.36346338768746,42.334840518035065,57.07277694982613,41.57766186454711,-0.757178653487955,False,False,BNP,BNP,BNP
50,Naogaon-5,Naogaon,BNP,40.7,42.4,50.8425077737625,45.74123875955963,55.74995824285953,41.596375480207115,-4.1448632793525135,False,False,BNP,BNP,BNP
51,Naogaon-6,Naogaon,BNP,52.2,55.7,44.78990865593737,42.81165724227925,48.29515942563209,43.084295360487914,0.27263811820866124,False,False,BNP,BNP,BNP
52,Rajshahi-1,Rajshahi,Jamaat,22.4,25.2,49.31728585228311,50.04307756572592,48.384433019898246,51.0881436296316,1.0450660639056792,False,True,Jamaat,Jamaat,Jamaat
53,Rajshahi-2,Rajshahi,BNP,56.1,57.4,54.355144763420455,44.526228805778295,55.28048036476897,43.629387021160454,-0.8968417846178411,False,False,BNP,BNP,BNP
54,Rajshahi-3,Rajshahi,BNP,18.5,21.4,54.16128374243557,43.95525940028558,54.97483824586628,43.824586628324944,-0.13067277196063287,False,False,BNP,BNP,BNP
55,Rajshahi-4,Rajshahi,Jamaat,54.5,55.7,47.64489609139539,51.02961829170151,47.52535321140678,51.67027823524313,0.6406599435416211,False,True,Jamaat,Jamaat,Jamaat
57,Rajshahi-6,Rajshahi,BNP,20.2,21.8,58.4238262535931,38.97317151069946,57.82326963556069,40.88489000784184,1.911718497142381,False,False,BNP,BNP,BNP
58,Natore-1,Natore,BNP,46.1,49.6,38.89447717583944,30.67809870511408,38.59446814819696,34.39203993212856,3.7139412270144803,False,False,BNP,BNP,BNP
59,Natore-2,Natore,BNP,33.1,35.9,55.23074671183322,42.47119586809694,53.623219358007816,44.55075497084766,2.0795591027507214,False,False,BNP,BNP,BNP
61,Natore-4,Natore,BNP,27.5,31.1,53.039964496765,43.7997804405204,52.488307950593594,45.609785345964745,1.8100049054443446,False,False,BNP,BNP,BNP
